class_id,class_name,year,semester,strength,subjects
C11,CSE-1A,1,1,60,"S101,S102,S103,S104,S105,S106,L101,L102,L103"
C12,CSE-1B,1,1,58,"S101,S102,S103,S104,S105,S106,L101,L102,L103"
C21,CSE-2A,1,2,60,"S201,S202,S203,S204,S205,S206,L201,L202,L203"
C22,CSE-2B,1,2,58,"S201,S202,S203,S204,S205,S206,L201,L202,L203"
C31,CSE-3A,2,3,55,"S301,S302,S303,S304,S305,S306,L301,L302,L303"
C32,CSE-3B,2,3,54,"S301,S302,S303,S304,S305,S306,L301,L302,L303"
C41,CSE-4A,2,4,55,"S401,S402,S403,S404,S405,S406,L401,L402,L403"
C42,CSE-4B,2,4,54,"S401,S402,S403,S404,S405,S406,L401,L402,L403"
C51,CSE-5A,3,5,52,"S501,S502,S503,S504,S505,S506,L501,L502,L503"
C52,CSE-5B,3,5,50,"S501,S502,S503,S504,S505,S506,L501,L502,L503"
C61,CSE-6A,3,6,52,"S601,S602,S603,S604,S605,S606,L601,L602,L603"
C62,CSE-6B,3,6,50,"S601,S602,S603,S604,S605,S606,L601,L602,L603"
C71,CSE-7A,4,7,48,"S701,S702,S703,S704,S705,S706,L701,L702,L703"
C72,CSE-7B,4,7,46,"S701,S702,S703,S704,S705,S706,L701,L702,L703"
C81,CSE-8A,4,8,48,"S801,S802,S803,S804,S805,S806,L801,L802,L803"
C82,CSE-8B,4,8,46,"S801,S802,S803,S804,S805,S806,L801,L802,L803"
